Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
                8.364 |                10.824 |         1.84859710852e-06 | 6.63645956413e-09 |            2.76247440269e-09 | 2.56545521534e-10 |        138 
               10.824 |                12.792 |         1.77037417566e-06 | 6.53894789599e-09 |            2.78335899693e-09 | 2.59274578731e-10 |        139 
               12.792 |                 14.76 |         1.73638184012e-06 | 5.99172645066e-09 |            2.81067811462e-09 | 2.41065422642e-10 |        140 
                14.76 |                16.728 |          1.6617065241e-06 | 5.43983782571e-09 |            2.65628856281e-09 | 2.17493571569e-10 |        141 
               16.728 |                18.696 |         1.60073137012e-06 | 5.06004171273e-09 |            2.77166792084e-09 | 2.10554948215e-10 |        142 
               18.696 |                20.664 |         1.50989226995e-06 | 4.69444390711e-09 |            2.78249010379e-09 | 2.01524557345e-10 |        143 
               20.664 |                 22.14 |         1.41722608092e-06 | 4.98215369244e-09 |            2.68332424035e-09 | 2.16787439505e-10 |        144 
                22.14 |                23.616 |         1.31887252741e-06 | 4.76024875789e-09 |            2.76599399335e-09 | 2.17998671222e-10 |        145 
               23.616 |                25.092 |         1.21112315501e-06 |  4.3342605445e-09 |             2.7110378234e-09 |  2.0506363992e-10 |        146 
               25.092 |                26.568 |         1.12522352625e-06 | 4.10061916827e-09 |            2.85151489483e-09 |  2.0642764764e-10 |        147 
               26.568 |                28.044 |         1.03628904758e-06 | 3.86878774613e-09 |            2.65230972157e-09 | 1.95725116207e-10 |        148 
               28.044 |                 29.52 |         9.50515194613e-07 | 3.63411639512e-09 |            2.77696637209e-09 | 1.96428555339e-10 |        149 
                29.52 |                30.996 |         8.45838204385e-07 | 3.27885239416e-09 |            2.67724175764e-09 | 1.84468410978e-10 |        150 
               30.996 |                32.964 |         7.45776943677e-07 | 2.65718996973e-09 |            2.64949001581e-09 | 1.58379605882e-10 |        151 
               32.964 |                34.932 |         6.66612894628e-07 | 2.41794645907e-09 |            2.61286071405e-09 | 1.51379802294e-10 |        152 
               34.932 |                  36.9 |         6.04132567727e-07 | 2.25518422098e-09 |             2.6099086175e-09 | 1.48227422924e-10 |        153 
                 36.9 |                38.868 |         5.53316196715e-07 | 2.10910100275e-09 |            2.65365083619e-09 | 1.46060431853e-10 |        154 
               38.868 |                40.836 |         5.20138108815e-07 | 1.98045462833e-09 |            2.58256248532e-09 | 1.39550368078e-10 |        155 
               40.836 |                43.296 |         4.60407687975e-07 | 1.61803899364e-09 |            2.69058943336e-09 | 1.23691947529e-10 |        156 
               43.296 |                45.756 |         3.90379453747e-07 | 1.43894727426e-09 |            2.65161158506e-09 | 1.18592263058e-10 |        157 
               45.756 |                48.216 |          3.4900024711e-07 | 1.32297213911e-09 |            2.60021243072e-09 | 1.14193722486e-10 |        158 
               48.216 |                50.676 |         3.10782748571e-07 | 1.20557148758e-09 |            2.68421174695e-09 | 1.12039945589e-10 |        159 
               50.676 |                53.628 |         2.76397340281e-07 | 1.01435963336e-09 |            2.73674267874e-09 | 1.00935050261e-10 |        160 
               53.628 |                 56.58 |         2.53184373227e-07 | 9.58017912108e-10 |            2.84351171887e-09 | 1.01527265681e-10 |        161 
                56.58 |                59.532 |         2.97422237123e-07 | 1.01177866107e-09 |            2.79359721317e-09 | 9.80574689001e-11 |        162 
               59.532 |                61.992 |         1.85231051247e-07 | 8.44195663882e-10 |            2.74742600311e-09 | 1.02813280372e-10 |        163 
               61.992 |                64.452 |         1.56014289537e-07 |  7.5064463944e-10 |            2.68837471398e-09 | 9.85364954903e-11 |        164 
               64.452 |                 66.42 |         1.41590954188e-07 | 7.87234634821e-10 |            2.62997639747e-09 | 1.07290768497e-10 |        165 
                66.42 |                 68.88 |         1.33003717144e-07 | 6.72402983835e-10 |            2.67101669588e-09 | 9.52875276432e-11 |        166 
