# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
      117.588      119.064     5.17443E-08     4.93610E-10     3.16436E-09     1.22066E-10     8.20597E+02
      119.064      120.540     5.07937E-08     4.85647E-10     3.02735E-09     1.18563E-10     8.33184E+02
      120.540      122.016     5.01853E-08     4.81196E-10     3.09176E-09     1.19436E-10     8.39962E+02
      122.016      123.492     4.88969E-08     4.71362E-10     2.97689E-09     1.16304E-10     8.53034E+02
      123.492      125.460     4.78472E-08     4.01130E-10     3.07389E-09     1.01672E-10     1.15247E+03
      125.460      127.428     4.66259E-08     3.92759E-10     3.06330E-09     1.00671E-10     1.17111E+03
      127.428      129.396     4.51277E-08     3.83030E-10     3.04253E-09     9.94555E-11     1.19071E+03
      129.396      131.364     4.37608E-08     3.74640E-10     2.97791E-09     9.77300E-11     1.20403E+03
      131.364      133.332     4.23902E-08     3.63935E-10     2.98391E-09     9.65570E-11     1.23114E+03
      133.332      135.300     4.14091E-08     3.57387E-10     2.94162E-09     9.52541E-11     1.24058E+03
      135.300      137.268     3.99404E-08     3.47939E-10     2.98797E-09     9.51670E-11     1.25994E+03
      137.268      139.236     3.84285E-08     3.37847E-10     2.93296E-09     9.33353E-11     1.28270E+03
      139.236      141.204     3.83137E-08     3.34940E-10     2.92211E-09     9.24993E-11     1.29795E+03
      141.204      143.172     3.71532E-08     3.27116E-10     2.85266E-09     9.06417E-11     1.31610E+03
      143.172      145.140     3.58408E-08     3.18525E-10     2.90096E-09     9.06203E-11     1.33595E+03
      145.140      147.108     3.49315E-08     3.13228E-10     2.86541E-09     8.97108E-11     1.34588E+03
      147.108      149.076     3.36693E-08     3.05832E-10     2.88416E-09     8.95108E-11     1.36209E+03
      149.076      151.044     3.28032E-08     3.00972E-10     2.90879E-09     8.96240E-11     1.37129E+03
      151.044      153.012     3.23934E-08     2.96962E-10     2.89082E-09     8.87122E-11     1.39138E+03
      153.012      154.980     3.12533E-08     2.90180E-10     2.89407E-09     8.83026E-11     1.40518E+03
      154.980      156.948     3.08433E-08     2.86768E-10     2.90672E-09     8.80345E-11     1.41971E+03
      156.948      158.916     2.98247E-08     2.81503E-10     2.90735E-09     8.78908E-11     1.42479E+03
      158.916      160.884     2.93135E-08     2.76937E-10     2.85805E-09     8.64734E-11     1.44803E+03
      160.884      163.344     2.84353E-08     2.43696E-10     2.84818E-09     7.71264E-11     1.81669E+03
      163.344      165.804     2.74055E-08     2.38146E-10     2.81867E-09     7.63743E-11     1.83194E+03
      165.804      168.264     2.67930E-08     2.34110E-10     2.83741E-09     7.61849E-11     1.84961E+03
      168.264      170.724     2.62221E-08     2.28946E-10     2.78135E-09     7.45637E-11     1.88786E+03
      170.724      173.184     2.53550E-08     2.21756E-10     2.79016E-09     7.35629E-11     1.94184E+03
      173.184      175.644     2.51639E-08     2.17700E-10     2.78417E-09     7.24131E-11     1.99751E+03
      175.644      178.104     2.45331E-08     2.12921E-10     2.78680E-09     7.17622E-11     2.03382E+03
      178.104      180.564     2.35439E-08     2.06836E-10     2.75381E-09     7.07382E-11     2.06771E+03
      180.564      183.024     2.32465E-08     2.04992E-10     2.75225E-09     7.05347E-11     2.07957E+03
      183.024      185.484     2.25869E-08     2.01436E-10     2.75719E-09     7.03789E-11     2.09482E+03
      185.484      187.944     2.25141E-08     2.00508E-10     2.73583E-09     6.98955E-11     2.11128E+03
      187.944      190.404     2.18648E-08     1.96470E-10     2.75252E-09     6.97091E-11     2.13985E+03
      190.404      192.864     2.13302E-08     1.92109E-10     2.78693E-09     6.94407E-11     2.18705E+03
      192.864      195.324     2.11369E-08     1.89183E-10     2.73549E-09     6.80579E-11     2.23764E+03
      195.324      197.784     2.03580E-08     1.84951E-10     2.74683E-09     6.79367E-11     2.25846E+03
      197.784      200.244     2.03726E-08     1.85251E-10     2.69694E-09     6.74022E-11     2.25604E+03
      200.244      202.704     2.02540E-08     1.85302E-10     2.74202E-09     6.81806E-11     2.24829E+03
      202.704      205.164     1.97079E-08     1.82802E-10     2.75172E-09     6.83067E-11     2.25095E+03
      205.164      208.116     1.89546E-08     1.62230E-10     2.75326E-09     6.18298E-11     2.75009E+03
      208.116      211.068     1.87219E-08     1.60016E-10     2.73788E-09     6.11922E-11     2.79414E+03
      211.068      214.020     1.81080E-08     1.57045E-10     2.74680E-09     6.11652E-11     2.80818E+03
      214.020      216.972     1.76969E-08     1.54330E-10     2.73676E-09     6.06906E-11     2.84619E+03
      216.972      219.924     1.72843E-08     1.51483E-10     2.69346E-09     5.97988E-11     2.88492E+03
      219.924      222.876     1.70401E-08     1.48136E-10     2.73546E-09     5.93525E-11     2.97230E+03
      222.876      225.828     1.67319E-08     1.45176E-10     2.73272E-09     5.86708E-11     3.03960E+03
      225.828      228.780     1.64245E-08     1.43348E-10     2.77462E-09     5.89180E-11     3.06744E+03
      228.780      231.732     1.59884E-08     1.40147E-10     2.70941E-09     5.76923E-11     3.12892E+03
      231.732      234.684     1.58490E-08     1.39064E-10     2.72469E-09     5.76596E-11     3.15071E+03
      234.684      237.636     1.51647E-08     1.34868E-10     2.73761E-09     5.73030E-11     3.20420E+03
      237.636      240.588     1.47391E-08     1.31915E-10     2.71414E-09     5.66076E-11     3.26205E+03
      240.588      243.540     1.44827E-08     1.29844E-10     2.69980E-09     5.60613E-11     3.31821E+03
      243.540      246.492     1.42839E-08     1.28180E-10     2.74060E-09     5.61463E-11     3.36178E+03
      246.492      249.936     1.40294E-08     1.17029E-10     2.70607E-09     5.13979E-11     3.97203E+03
      249.936      253.380     1.34712E-08     1.13925E-10     2.70955E-09     5.10936E-11     4.03956E+03
      253.380      256.824     1.33082E-08     1.12551E-10     2.68272E-09     5.05334E-11     4.10758E+03
      256.824      260.268     1.30602E-08     1.10919E-10     2.68773E-09     5.03181E-11     4.16616E+03
      260.268      263.712     1.25964E-08     1.08610E-10     2.67856E-09     5.00837E-11     4.20610E+03
      263.712      267.156     1.24380E-08     1.07621E-10     2.64767E-09     4.96539E-11     4.24120E+03
      267.156      270.600     1.22439E-08     1.06445E-10     2.66129E-09     4.96261E-11     4.28018E+03
      270.600      274.536     1.19406E-08     9.89432E-11     2.64050E-09     4.65282E-11     4.84540E+03
      274.536      278.472     1.18294E-08     9.88122E-11     2.61697E-09     4.64759E-11     4.83257E+03
      278.472      282.408     1.14390E-08     9.61737E-11     2.61544E-09     4.59870E-11     4.95626E+03
      282.408      286.344     1.10792E-08     9.37672E-11     2.62128E-09     4.56093E-11     5.07221E+03
      286.344      290.280     1.11481E-08     9.35294E-11     2.65137E-09     4.56125E-11     5.15040E+03
      290.280      294.216     1.07404E-08     9.05439E-11     2.64198E-09     4.49069E-11     5.30362E+03
      294.216      298.152     1.04767E-08     8.86267E-11     2.63896E-09     4.44804E-11     5.41279E+03
      298.152      302.088     1.03800E-08     8.80737E-11     2.62565E-09     4.42962E-11     5.43942E+03
      302.088      306.024     1.02100E-08     8.74536E-11     2.65710E-09     4.46138E-11     5.43603E+03
      306.024      310.452     1.00709E-08     8.18826E-11     2.63635E-09     4.18947E-11     6.12277E+03
      310.452      314.880     9.74523E-09     8.05391E-11     2.59963E-09     4.15974E-11     6.13874E+03
